panel,family,outcome,term,coef,se,pval,nobs,mean_outcome
user_embedding,binary,focal_answer_share_post_return_365d,high_post,0.012942961113941831,0.22864387886774917,0.9548578504416692,748,0.29044949368416134
user_embedding,continuous,focal_answer_share_post_return_365d,exposure_post,-0.07802391173523632,0.0769697580249184,0.3107279827553532,748,0.29044949368416134
user_embedding,binary,focal_active_months_post_return_365d,high_post,0.07700140759534058,0.6793445923074912,0.909755764664804,791,1.218608126508025
user_embedding,continuous,focal_active_months_post_return_365d,exposure_post,-0.20089551097366276,0.23756671098842577,0.3977545494917255,791,1.218608126508025
user_embedding,binary,other_tags_touched_post_return_365d,high_post,-0.008142406972905275,0.20986530357356595,0.9690512383413072,791,1.1807220024761933
user_embedding,continuous,other_tags_touched_post_return_365d,exposure_post,0.05635176829440215,0.07451269706784183,0.4494869217066597,791,1.1807220024761933
user_embedding,binary,focal_accepted_current_post_return_365d,high_post,2.200090656643492,2.443306132357912,0.36787741521843764,791,1.8564299764062433
user_embedding,continuous,focal_accepted_current_post_return_365d,exposure_post,0.6622800339532323,0.7915656562363511,0.40277752093829766,791,1.8564299764062433
user_embedding,binary,any_focal_accepted_current_post_return_365d,high_post,-0.06164317462161717,0.20594553099011798,0.7646975322647354,791,0.305713572904055
user_embedding,continuous,any_focal_accepted_current_post_return_365d,exposure_post,-0.10005607462704952,0.06806625284265848,0.14156699461618574,791,0.305713572904055
user_embedding,binary,focal_accepted_share_post_return_365d,high_post,0.017844903358198327,0.2123317090113734,0.9330225823584956,716,0.3074502626581576
user_embedding,continuous,focal_accepted_share_post_return_365d,exposure_post,-0.060647950247008836,0.07732335346660461,0.432839487500393,716,0.3074502626581576
