tag,month_id,n_questions,high_tag,exposure_index,accepted_archive_rate,accepted_7d_rate,accepted_7d_denom,accepted_30d_rate,accepted_30d_denom,first_answer_1d_rate,first_answer_1d_denom,first_answer_7d_rate,first_answer_7d_denom,group,post_chatgpt,high_post,exposure_post
android,2020-01,6067,0,-0.5824723369899437,0.3823965716169441,0.1518048458875886,6067.0,0.19268172078457227,6067.0,0.6171089500576892,6067.0,0.688478655018955,6067.0,low,0,0,-0.0
android,2020-02,5792,0,-0.5824723369899437,0.37931629834254144,0.15435082872928177,5792.0,0.19457872928176795,5792.0,0.6084254143646409,5792.0,0.6818024861878453,5792.0,low,0,0,-0.0
android,2020-03,6088,0,-0.5824723369899437,0.36859395532194483,0.14733902759526937,6088.0,0.1859395532194481,6088.0,0.586892247043364,6088.0,0.6652431011826544,6088.0,low,0,0,-0.0
android,2020-04,6568,0,-0.5824723369899437,0.3800243605359318,0.152557856272838,6568.0,0.19397076735688185,6568.0,0.6074908647990256,6568.0,0.6849878197320342,6568.0,low,0,0,-0.0
android,2020-05,6487,0,-0.5824723369899437,0.3784492061045167,0.13873901649452752,6487.0,0.1842145830121782,6487.0,0.5820872514259288,6487.0,0.6610143363650378,6487.0,low,0,0,-0.0
android,2020-06,5982,0,-0.5824723369899437,0.37027749916415914,0.14593781344032097,5982.0,0.1852223336676697,5982.0,0.5874289535272484,5982.0,0.6633233032430625,5982.0,low,0,0,-0.0
android,2020-07,5786,0,-0.5824723369899437,0.38282060145178015,0.1571033529208434,5786.0,0.1978914621500173,5786.0,0.582267542343588,5786.0,0.6664362253715866,5786.0,low,0,0,-0.0
android,2020-08,5045,0,-0.5824723369899437,0.37918731417244794,0.16531219028741329,5045.0,0.21129831516352823,5045.0,0.5700693756194252,5045.0,0.6604558969276512,5045.0,low,0,0,-0.0
android,2020-09,4868,0,-0.5824723369899437,0.3707888249794577,0.15283483976992604,4868.0,0.19350862777321282,4868.0,0.5630649137222679,4868.0,0.6507806080525883,4868.0,low,0,0,-0.0
android,2020-10,4952,0,-0.5824723369899437,0.3705573505654281,0.15266558966074315,4952.0,0.19890953150242327,4952.0,0.561389337641357,4952.0,0.6528675282714055,4952.0,low,0,0,-0.0
android,2020-11,4516,0,-0.5824723369899437,0.3722320637732507,0.14946855624446412,4516.0,0.18777679362267494,4516.0,0.5653232949512843,4516.0,0.6554472984942427,4516.0,low,0,0,-0.0
android,2020-12,4516,0,-0.5824723369899437,0.37599645704162976,0.15234720992028344,4516.0,0.1970770593445527,4516.0,0.562666076173605,4516.0,0.6463684676705048,4516.0,low,0,0,-0.0
android,2021-01,4709,0,-0.5824723369899437,0.3737523890422595,0.15714589084731365,4709.0,0.1966447228710979,4709.0,0.5901465279252496,4709.0,0.669144191972818,4709.0,low,0,0,-0.0
android,2021-02,4075,0,-0.5824723369899437,0.35680981595092026,0.1438036809815951,4075.0,0.18625766871165644,4075.0,0.5639263803680982,4075.0,0.645398773006135,4075.0,low,0,0,-0.0
