spec_id,panel,outcome,term,full_coef,full_se,full_pval,full_nobs,sign_stability_share,min_coef_over_omissions,max_coef_over_omissions,any_sign_flip,flip_tags,weight_col,formula
queue_residual_complexity,p1_jmis_residual_queue_panel.csv,residual_queue_complexity_index_mean,high_post,0.05512033694139709,0.013244168504046779,0.0008348499875891613,1147,1.0,0.04325449980419858,0.06144161940877918,False,,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
queue_body_word_count,p1_jmis_residual_queue_panel.csv,body_word_count_mean,high_post,4.096115718565792,1.6714106076201463,0.027004536056666844,1147,1.0,2.4180487668052595,4.990443922826631,False,,n_questions,body_word_count_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
queue_tag_breadth,p1_jmis_residual_queue_panel.csv,tag_count_full_mean,high_post,0.14409543126312352,0.03804195140541558,0.0017872495245241649,1147,1.0,0.10704515667331715,0.16237861318381167,False,,n_questions,tag_count_full_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
resort_brand_new_share,p1_jmis_residual_queue_panel.csv,brand_new_platform_share,high_post,0.030050089450070705,0.008853585715612825,0.004005863444441099,1145,1.0,0.025414275042157153,0.03822700986885856,False,,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
resort_low_tenure_share,p1_jmis_residual_queue_panel.csv,low_tenure_existing_share,high_post,-0.06276576895500968,0.009360015872429935,7.03620781005152e-06,1145,1.0,-0.07050465386645483,-0.056157325770076025,False,,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
resort_established_cross_tag_share,p1_jmis_residual_queue_panel.csv,established_cross_tag_share,high_post,0.03271567950493574,0.008463096350477237,0.0015243088648574433,1145,1.0,0.02277996175596485,0.037824238635035,False,,n_new_answerers_profiles,established_cross_tag_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
consequence_first_answer_1d_closure,p1_jmis_residual_queue_panel.csv,first_answer_1d_rate_closure,high_post,-0.03253075449220413,0.010482813974831643,0.0072688664628875405,1147,1.0,-0.03798904274862832,-0.022324115285959213,False,,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
consequence_accepted_vote_30d_rate,p1_jmis_residual_queue_panel.csv,accepted_vote_30d_rate,high_post,0.009133906533247872,0.002893942036226702,0.00652289546846795,1140,1.0,0.007770601399277433,0.011140296047788609,False,,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
assoc_brand_new_to_any_answer_7d,p1_jmis_subtype_consequence_panel.csv,any_answer_7d_rate,brand_new_platform_share,0.12710268729144314,0.05285307259685964,0.029544591559260647,1145,1.0,0.08311538694774928,0.14087514924295308,False,,any_answer_7d_denom,any_answer_7d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id)
assoc_established_to_any_answer_7d,p1_jmis_subtype_consequence_panel.csv,any_answer_7d_rate,established_cross_tag_share,-0.12208356646400555,0.03796231383201063,0.005772630071599456,1145,1.0,-0.13526215238707387,-0.0830170673860632,False,,any_answer_7d_denom,any_answer_7d_rate ~ high_post + established_cross_tag_share + C(primary_tag):time_index + C(primary_tag) + C(month_id)
assoc_established_to_first_positive_latency,p1_jmis_subtype_consequence_panel.csv,first_positive_answer_latency_mean,established_cross_tag_share,246.86011852731238,101.1360914899329,0.02753048721273534,1142,1.0,103.17575966015697,281.9956134684985,False,,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + C(primary_tag):time_index + C(primary_tag) + C(month_id)
