sample,y,x,lag_months_shift,pearson_r,pearson_p,n_months
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-6,-0.341306218168495,0.005038626593994365,66
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-5,-0.33323367701125217,0.005859565355339871,67
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-4,-0.34767031108775204,0.0036722649508619484,68
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-3,-0.35836833866668655,0.0024981985242326157,69
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-2,-0.3657434445663866,0.0018483898308546492,70
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,-1,-0.38115360663819275,0.0010403277762922065,71
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,0,-0.40208312381780126,0.000463378929237857,72
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,1,-0.4127091029783061,0.00034800980809179246,71
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,2,-0.41538193163486703,0.00034919516127776236,70
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,3,-0.43453222765229155,0.0001909389524589848,69
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,4,-0.4608864314937122,7.648353765747667e-05,68
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,5,-0.4824519123885357,3.559212058737744e-05,67
full_2020_2025,internal_ai_title_log_hits_z_full,chatgpt_z_full,6,-0.5078516181795825,1.3449548777448239e-05,66
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-6,0.5948391429128513,1.388262874046801e-07,66
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-5,0.6026933778207603,6.795548576696282e-08,67
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-4,0.6117655671063552,2.984672617704058e-08,68
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-3,0.6257378389969479,8.977966715866067e-09,69
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-2,0.6541773229906903,8.189562559016957e-10,70
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-1,0.6787540336177761,7.767638867594849e-11,71
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,0,0.687282327401567,2.606811902281317e-11,72
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,1,0.7055742254237943,6.391914856759478e-12,71
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,2,0.6864831499397174,5.382796641878925e-11,70
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,3,0.6391753394189902,3.4068004904295394e-09,69
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,4,0.5766870217406115,2.6485426354338603e-07,68
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,5,0.5087405592392251,1.1039439686445251e-05,67
full_2020_2025,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,6,0.4376743509334166,0.00023787669642331882,66
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-6,0.7223047884442975,7.626054708998723e-12,66
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-5,0.7510975022527646,2.4647776153015764e-13,67
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-4,0.7724387694186253,1.2176845938551882e-14,68
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-3,0.7973400658550479,2.4487264173451077e-16,69
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-2,0.8027239350882013,6.460776148179863e-17,70
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,-1,0.8198067860446889,2.281088793363856e-18,71
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,0,0.7891629751550095,1.8112514010914774e-16,72
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,1,0.8024919540580631,3.9672243088289707e-17,71
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,2,0.8202984540441167,3.6877390234847314e-18,70
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,3,0.8208238225312434,5.9415402070632534e-18,69
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,4,0.8184392547938384,1.556778968077177e-17,68
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,5,0.8071336564861985,1.6087281216745682e-16,67
full_2020_2025,internal_ai_title_rate_z_full,chatgpt_z_full,6,0.7971143919417758,1.175969519752431e-15,66
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-6,0.585420347691177,2.431795323431996e-07,66
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-5,0.592016249005997,1.3163401361656136e-07,67
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-4,0.5972946485536349,7.581747574139482e-08,68
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-3,0.6098674605814403,2.6611043316704116e-08,69
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-2,0.5404723249505805,1.3683644757322732e-06,70
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,-1,0.5639356060686521,3.037302327776616e-07,71
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,0,0.5736031135500339,1.3883513431763947e-07,72
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,1,0.5884735717645012,6.774291476602324e-08,71
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,2,0.5978387759861993,4.6419332170973e-08,70
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,3,0.5858671357046538,1.233888343598772e-07,69
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,4,0.5675187935531462,4.497009231864309e-07,68
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,5,0.525786009890364,4.899086672643305e-06,67
full_2020_2025,internal_chatgpt_title_rate_z_full,chatgpt_z_full,6,0.4815007649870585,4.2591807069168955e-05,66
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-6,-0.4595166668599042,0.008149439907182263,32
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-5,-0.37982850576498456,0.029237933299535286,33
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-4,-0.3048827902248251,0.07955482534853528,34
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-3,-0.19862623684963712,0.2526839751706973,35
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-2,-0.12673871500271738,0.4613818285235449,36
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,-1,-0.04062342630501451,0.8113227856460625,37
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,0,-0.09351629228370487,0.576542481865723,38
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,1,-0.13115289637343283,0.4390836816471706,37
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,2,-0.08848754252990669,0.6078138161879885,36
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,3,-0.14704888062827298,0.3992536807117046,35
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,4,-0.20107220521913194,0.25416920480508326,34
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,5,-0.17245510898367025,0.33720799744422764,33
post_chatgpt,internal_ai_title_log_hits_z_full,chatgpt_z_full,6,-0.1917409958084864,0.29312508648000823,32
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-6,-0.6081860041872718,0.00022192256286160077,32
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-5,-0.5358776421810694,0.0013084576943835841,33
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-4,-0.43422320913200924,0.010289874618794095,34
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-3,-0.2159209148600989,0.21284824997189813,35
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-2,-0.09127597078050284,0.5965034170913796,36
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,-1,0.12390727773786973,0.46499140297849423,37
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,0,0.26460589148391384,0.10840260508891475,38
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,1,0.2858156880304286,0.0863715472683434,37
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,2,0.09034210550259365,0.6002811555271392,36
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,3,-0.05946201107292125,0.7343787190011452,35
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,4,-0.1585320889326726,0.37052069752110295,34
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,5,-0.18854082663857552,0.29335812143440826,33
post_chatgpt,internal_chatgpt_title_log_hits_z_full,chatgpt_z_full,6,-0.21471882198015382,0.23794688084107155,32
