setting,sample,outcome,predictor,coef,se,pval,nobs,n_repos,n_months
devgpt_thread,issue_discussion_all,updated_7d,context_heavy,0.06847868321864221,0.05784061213878262,0.23644455646589346,321,258,23
devgpt_thread,issue_discussion_all,updated_7d,multi_turn,0.08211375378064467,0.062106961032193424,0.18612337852411853,321,258,23
devgpt_thread,issue_discussion_all,updated_7d,log_ai_tokens,-0.04045191310797118,0.01319085865998847,0.0021646303029660254,321,258,23
devgpt_thread,issue_discussion_all,closed_30d,context_heavy,0.11015416983137014,0.06595300566128595,0.09488142010138904,321,258,23
devgpt_thread,issue_discussion_all,closed_30d,multi_turn,-0.03934639855016238,0.0752776044836504,0.6011941824370701,321,258,23
devgpt_thread,issue_discussion_all,closed_30d,log_ai_tokens,-0.02140407456826498,0.01604172885577918,0.18211381305429108,321,258,23
devgpt_thread,issue_discussion_all,response_close_gap_30d,context_heavy,-0.04167548661272796,0.08658112459339194,0.6302705381674119,321,258,23
devgpt_thread,issue_discussion_all,response_close_gap_30d,multi_turn,0.12146015233080702,0.09890387486225553,0.21942345938221453,321,258,23
devgpt_thread,issue_discussion_all,response_close_gap_30d,log_ai_tokens,-0.0190478385397062,0.022398346707474644,0.3950956767578432,321,258,23
devgpt_thread,issue_only_updated,closed_30d_given_updated,context_heavy,0.13723597551762723,0.09673758703764435,0.15600350027645998,170,141,4
devgpt_thread,issue_only_updated,closed_30d_given_updated,multi_turn,0.038665177447138196,0.09868912222114966,0.6952151346252757,170,141,4
devgpt_thread,issue_only_updated,closed_30d_given_updated,log_ai_tokens,-0.02860799362927874,0.021871670258636476,0.19087565203646428,170,141,4
devgpt_pr_support,pr_all,merged_30d,context_heavy,0.22911060931501376,0.10346035628525765,0.02679596331268871,164,129,7
devgpt_pr_support,pr_all,merged_30d,multi_turn,-0.1254656232544767,0.09288096108326603,0.17675253608567554,164,129,7
devgpt_pr_support,pr_all,merged_30d,log_ai_tokens,0.002953180249206799,0.023245450780207306,0.8989060776148435,164,129,7
devgpt_pr_support,pr_all,merged_7d,context_heavy,0.1804125667102962,0.10957091654457587,0.09965325175462084,164,129,7
devgpt_pr_support,pr_all,merged_7d,multi_turn,-0.2247693151919059,0.08870983571939602,0.011284641927774779,164,129,7
devgpt_pr_support,pr_all,merged_7d,log_ai_tokens,0.01059420541141622,0.019975313368336165,0.5958589455523827,164,129,7
