family,model,outcome,weight_col,formula,nobs,high_post_coef,high_post_se,high_post_pval,brand_new_platform_share_coef,brand_new_platform_share_se,brand_new_platform_share_pval,low_tenure_existing_share_coef,low_tenure_existing_share_se,low_tenure_existing_share_pval,exposure_post_coef,exposure_post_se,exposure_post_pval
binary,baseline,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),1147,-0.03253075449220413,0.010482813974831643,0.001914102180839473,,,,,,,,,
binary,brand_new_only,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ high_post + brand_new_platform_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1145,-0.03769415243737537,0.009258723844810824,4.6770791016123894e-05,0.16563847319986474,0.06433941736654958,0.010040022759749407,,,,,,
binary,composition_two_share,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1145,-0.030474306278637675,0.009084283267499771,0.0007947445595696495,0.18038160047624802,0.06162621845319442,0.0034221925640006102,0.12287327684269596,0.09424247465145333,0.1923020055824135,,,
binary,baseline,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),1140,0.009133906533247872,0.002893942036226702,0.0015983037997761972,,,,,,,,,
binary,brand_new_only,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ high_post + brand_new_platform_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1138,0.00997328791524223,0.0030093766187554005,0.0009194814141058458,-0.026864287477421936,0.018275905143772617,0.141580917578655,,,,,,
binary,composition_two_share,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1138,0.009091570421590906,0.0028210145719204404,0.0012694342376608479,-0.028666458241346573,0.018474583143514318,0.12074118093496335,-0.014997352982977037,0.03064036531409007,0.6245132998279888,,,
continuous,baseline,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),1147,,,,,,,,,,-0.013423604569789286,0.008641748087700763,0.12034105588988037
continuous,brand_new_only,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ exposure_post + brand_new_platform_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1145,,,,0.16218010953698583,0.06364531641634887,0.010828469369709775,,,,-0.01723653381293209,0.00812316577565361,0.03384625688128056
continuous,composition_two_share,first_answer_1d_rate,first_answer_1d_denom,first_answer_1d_rate ~ exposure_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1145,,,,0.1804357021287413,0.061254605555602554,0.003222585894626337,0.16011199315688837,0.09482780081059652,0.0913248937254152,-0.011976961303508697,0.007846079928268907,0.12688791852496545
continuous,baseline,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),1140,,,,,,,,,,0.001488425135396682,0.0027048235956319056,0.5821235855915077
continuous,brand_new_only,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ exposure_post + brand_new_platform_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1138,,,,-0.02100983656864685,0.018599314744512072,0.25864366339179845,,,,0.001983012545578531,0.002926565295085268,0.49803143534868
continuous,composition_two_share,accepted_30d_rate,accepted_30d_denom,accepted_30d_rate ~ exposure_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),1138,,,,-0.025310795468385654,0.018628696836105813,0.17424192605714728,-0.03765189528578166,0.03206345327178414,0.24027760431551026,0.0007454588957183947,0.002705531878226,0.7829080309928678
