tag_family,family,outcome,term,coef,se,pval,nobs
application_framework,binary,any_answer_7d_rate,high_post,-0.026516071353029916,0.003723324508158823,0.01915249494253714,216
application_framework,binary,any_answer_7d_rate,established_cross_tag_share,-0.04418494548519815,0.16010946772116177,0.8084742701875111,216
application_framework,binary,first_positive_answer_latency_mean,high_post,64.58038253415414,31.790227876347927,0.17928958572273684,216
application_framework,binary,first_positive_answer_latency_mean,established_cross_tag_share,199.91022886047358,405.42700558720486,0.6707734975965384,216
application_framework,binary,accepted_vote_30d_rate,high_post,0.013665745774779029,0.004948805737442719,0.10993390559476104,215
application_framework,binary,accepted_vote_30d_rate,brand_new_platform_share,-0.05760520061536133,0.08429787468561137,0.5649261062255341,215
application_framework,binary,first_answer_1d_rate_closure,high_post,-0.03384731815028,0.004311732416132106,0.015843013756573786,216
application_framework,binary,first_answer_1d_rate_closure,brand_new_platform_share,0.017205904902432956,0.11862183828813729,0.8979705565321632,216
application_framework,continuous,any_answer_7d_rate,exposure_post,-0.022408403457931974,0.006470828051947603,0.07422241478472605,216
application_framework,continuous,any_answer_7d_rate,established_cross_tag_share,-0.048324009203732116,0.15670856351727652,0.7869562688883671,216
application_framework,continuous,first_positive_answer_latency_mean,exposure_post,51.4995723660355,37.864818948443286,0.30681990510170126,216
application_framework,continuous,first_positive_answer_latency_mean,established_cross_tag_share,219.91958330772832,392.01307574685,0.6312653431698286,216
application_framework,continuous,accepted_vote_30d_rate,exposure_post,0.012588480472746863,0.003824252172030394,0.0812053817402008,215
application_framework,continuous,accepted_vote_30d_rate,brand_new_platform_share,-0.05817409421565148,0.083882111638036,0.5596994069437629,215
application_framework,continuous,first_answer_1d_rate_closure,exposure_post,-0.029741400448457547,0.0062773346679831235,0.041776234440401724,216
application_framework,continuous,first_answer_1d_rate_closure,brand_new_platform_share,0.011741291187201464,0.12171455917247434,0.9319465219702872,216
data_scripting,binary,any_answer_7d_rate,high_post,-0.013222412542484581,0.012990409451638313,0.34801828414369046,497
data_scripting,binary,any_answer_7d_rate,established_cross_tag_share,-0.14155220900284193,0.06505122990604172,0.0724587452542323,497
data_scripting,binary,first_positive_answer_latency_mean,high_post,18.556777037369187,25.633831768134048,0.49635987201880233,496
data_scripting,binary,first_positive_answer_latency_mean,established_cross_tag_share,268.10032183214855,147.93774958376255,0.11990056669747597,496
data_scripting,binary,accepted_vote_30d_rate,high_post,0.0071065817653505805,0.004494067461983737,0.16488819792727016,495
