family,model,outcome,weight_col,formula,term,coef,se,pval,nobs
binary,baseline,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.02672132850974683,0.00887497115662708,0.002605057584507685,1147
binary,with_subtypes,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.02369754581012279,0.007821734878086949,0.0024479307022073453,1145
binary,with_subtypes,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),brand_new_platform_share,0.12710268729144314,0.05285307259685963,0.016179963138442912,1145
binary,with_subtypes,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),low_tenure_existing_share,0.11179464401373135,0.071892523171835,0.11994020427385563,1145
binary,established_only,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + established_cross_tag_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.022898040845692115,0.008333430845758513,0.0060008900293264545,1145
binary,established_only,any_answer_7d_rate,any_answer_7d_denom,any_answer_7d_rate ~ high_post + established_cross_tag_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),established_cross_tag_share,-0.12208356646400555,0.03796231383201067,0.0013002943483456544,1145
binary,baseline,first_positive_answer_latency_mean,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,92.09117904868032,28.99487036825391,0.001492593482359727,1143
binary,with_subtypes,first_positive_answer_latency_mean,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,73.4931350382861,24.69947492493461,0.002925172424248197,1142
binary,with_subtypes,first_positive_answer_latency_mean,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),brand_new_platform_share,-180.66809185209175,119.123972940205,0.12935779235388933,1142
binary,with_subtypes,first_positive_answer_latency_mean,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + brand_new_platform_share + low_tenure_existing_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),low_tenure_existing_share,-372.3486597203256,159.6930112549271,0.019718962803729066,1142
binary,established_only,first_positive_answer_latency_mean,first_positive_answer_latency_denom,first_positive_answer_latency_mean ~ high_post + established_cross_tag_share + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,83.72736866487877,26.177363378222182,0.0013816152059257735,1142
