primary_tag,entry_month,post_chatgpt,exposure_index,high_tag,rate,n_eligible,outcome
android,2020-01,0,-0.5824723369899437,0,0.5900383141762452,2610,transition_first_positive_365d
android,2020-02,0,-0.5824723369899437,0,0.5273327049952875,2122,transition_first_positive_365d
android,2020-03,0,-0.5824723369899437,0,0.487012987012987,2156,transition_first_positive_365d
android,2020-04,0,-0.5824723369899437,0,0.4704821991888238,2219,transition_first_positive_365d
android,2020-05,0,-0.5824723369899437,0,0.4824007220216607,2216,transition_first_positive_365d
android,2020-06,0,-0.5824723369899437,0,0.47781065088757396,2028,transition_first_positive_365d
android,2020-07,0,-0.5824723369899437,0,0.43952033368091764,1918,transition_first_positive_365d
android,2020-08,0,-0.5824723369899437,0,0.4599774520856821,1774,transition_first_positive_365d
android,2020-09,0,-0.5824723369899437,0,0.4402402402402402,1665,transition_first_positive_365d
android,2020-10,0,-0.5824723369899437,0,0.4476470588235294,1700,transition_first_positive_365d
android,2020-11,0,-0.5824723369899437,0,0.4518229166666667,1536,transition_first_positive_365d
android,2020-12,0,-0.5824723369899437,0,0.42084168336673344,1497,transition_first_positive_365d
android,2021-01,0,-0.5824723369899437,0,0.4256410256410256,1560,transition_first_positive_365d
android,2021-02,0,-0.5824723369899437,0,0.42045454545454547,1408,transition_first_positive_365d
android,2021-03,0,-0.5824723369899437,0,0.3950863213811421,1506,transition_first_positive_365d
android,2021-04,0,-0.5824723369899437,0,0.4161313347608851,1401,transition_first_positive_365d
android,2021-05,0,-0.5824723369899437,0,0.42071197411003236,1545,transition_first_positive_365d
android,2021-06,0,-0.5824723369899437,0,0.40054310930074677,1473,transition_first_positive_365d
android,2021-07,0,-0.5824723369899437,0,0.401541695865452,1427,transition_first_positive_365d
android,2021-08,0,-0.5824723369899437,0,0.3899280575539568,1390,transition_first_positive_365d
android,2021-09,0,-0.5824723369899437,0,0.38357142857142856,1400,transition_first_positive_365d
android,2021-10,0,-0.5824723369899437,0,0.3677581863979849,1191,transition_first_positive_365d
android,2021-11,0,-0.5824723369899437,0,0.377902321857486,1249,transition_first_positive_365d
android,2021-12,0,-0.5824723369899437,0,0.36221837088388215,1154,transition_first_positive_365d
android,2022-01,0,-0.5824723369899437,0,0.3795275590551181,1270,transition_first_positive_365d
android,2022-02,0,-0.5824723369899437,0,0.37715179968701096,1278,transition_first_positive_365d
android,2022-03,0,-0.5824723369899437,0,0.3619126133553174,1213,transition_first_positive_365d
android,2022-04,0,-0.5824723369899437,0,0.34831460674157305,1157,transition_first_positive_365d
android,2022-05,0,-0.5824723369899437,0,0.351493848857645,1138,transition_first_positive_365d
android,2022-06,0,-0.5824723369899437,0,0.3541125541125541,1155,transition_first_positive_365d
android,2022-07,0,-0.5824723369899437,0,0.3447669305189094,1137,transition_first_positive_365d
android,2022-08,0,-0.5824723369899437,0,0.34755134281200634,1266,transition_first_positive_365d
android,2022-09,0,-0.5824723369899437,0,0.3416815742397138,1118,transition_first_positive_365d
android,2022-10,0,-0.5824723369899437,0,0.32624768946395566,1082,transition_first_positive_365d
android,2022-11,0,-0.5824723369899437,0,0.32701421800947866,1055,transition_first_positive_365d
android,2022-11,1,-0.5824723369899437,0,0.34375,32,transition_first_positive_365d
android,2022-12,1,-0.5824723369899437,0,0.3091684434968017,938,transition_first_positive_365d
android,2023-01,1,-0.5824723369899437,0,0.3228492136910268,1081,transition_first_positive_365d
android,2023-02,1,-0.5824723369899437,0,0.29232386961093587,951,transition_first_positive_365d
android,2023-03,1,-0.5824723369899437,0,0.29334787350054525,917,transition_first_positive_365d
android,2023-04,1,-0.5824723369899437,0,0.3358395989974937,798,transition_first_positive_365d
android,2023-05,1,-0.5824723369899437,0,0.31543624161073824,745,transition_first_positive_365d
android,2023-06,1,-0.5824723369899437,0,0.26052631578947366,760,transition_first_positive_365d
android,2023-07,1,-0.5824723369899437,0,0.2767379679144385,748,transition_first_positive_365d
android,2023-08,1,-0.5824723369899437,0,0.2966751918158568,782,transition_first_positive_365d
