model_id,panel,outcome,term,leaveout_primary_tag,coef,se,pval,nobs,weight_col,formula
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,__full__,0.05512033694139709,0.006896526392071199,3.483614967241184e-15,1147,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,android,0.04325449980419858,0.008953042577269126,1.5751459687958726e-06,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,apache-spark,0.050461605788094874,0.0069669753523543465,8.910723745375935e-13,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,bash,0.05593342503232888,0.006970508524195143,2.921595216034407e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,docker,0.060693712424045906,0.00752949598118596,2.209469908025456e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,excel,0.054310704500105986,0.006830280734080986,5.0858253345038665e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,firebase,0.05819390637299986,0.007278481703549888,3.643877129343004e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,javascript,0.06144161940877918,0.007293001924919562,1.2854018790653992e-16,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,kubernetes,0.053411729824982726,0.007118875321540188,1.4055599242896532e-13,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,linux,0.060126939851566946,0.007186934715371073,2.046434673082397e-16,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,memory-management,0.055477868037915164,0.007043879958192803,8.988436969015377e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,multithreading,0.05521538090010134,0.007147155000281174,2.762540118149856e-14,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,numpy,0.05514537292257779,0.006982272967779249,7.601486775697094e-15,1078,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,pandas,0.055736382471174364,0.0069735307363221685,3.714086217976518e-15,1077,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,python,0.048931248103285016,0.007305981542551684,3.5801796037575886e-11,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,regex,0.05625446462250539,0.007021459870417482,3.2143056934495293e-15,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T2_residual_queue_complexity,residual,residual_queue_complexity_index_mean,high_post,sql,0.05228727597546511,0.0063601687000611395,6.397665836389295e-16,1075,n_questions,residual_queue_complexity_index_mean ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,__full__,0.030050089450070705,0.005152185261888634,7.280174374364225e-09,1145,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,android,0.03268041523142054,0.006318752535374095,2.812566715475975e-07,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,apache-spark,0.0300167242363735,0.005258561701424058,1.5161738127843215e-08,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,bash,0.029651982244895805,0.005240911969304292,2.016466005666051e-08,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,docker,0.025414275042157153,0.005597915800612717,6.3317088977345794e-06,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,excel,0.026964534921625115,0.004924549106457916,5.553644397256516e-08,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,firebase,0.03145151667991486,0.005463909973751399,1.1525851767554081e-08,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,javascript,0.03325124039884225,0.005654071599325111,5.605737144736835e-09,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,kubernetes,0.02789673642664634,0.005359010514680204,2.3597240338564862e-07,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,linux,0.03189163374899933,0.005398647467573504,4.804027594018641e-09,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,memory-management,0.03059166701264021,0.005244142317049383,7.386233703746472e-09,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,multithreading,0.030988761400584867,0.005261931020956225,5.340575625962216e-09,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,numpy,0.02984544338165558,0.0052243954975385335,1.4758149617243361e-08,1077,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,pandas,0.029202512716465307,0.005190588279280613,2.4086685601155566e-08,1076,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,python,0.03822700986885856,0.005155563094458208,2.649905226975148e-13,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,regex,0.029730514282829558,0.005228793184091476,1.7200680885468546e-08,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_brand_new_share,residual,brand_new_platform_share,high_post,sql,0.027502813781775538,0.0052094901028568695,1.5992219370734147e-07,1073,n_new_answerers_profiles,brand_new_platform_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,__full__,-0.06276576895500968,0.003914030622686613,6.830372040329722e-52,1145,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,android,-0.07050465386645483,0.00473102880436503,2.175361813382781e-45,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,apache-spark,-0.06221699675668723,0.004013032359159354,1.310449182216575e-48,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,bash,-0.06360181915003794,0.003990294947070805,5.469275697967568e-51,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,docker,-0.056157325770076025,0.00408356588987068,1.886397116833084e-39,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,excel,-0.061594441333082145,0.003916428786755325,7.961667605023443e-50,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,firebase,-0.06440087880068321,0.004109920186214162,1.642156614743581e-49,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,javascript,-0.0645584611861624,0.004227392482272639,2.3485981268329486e-47,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,kubernetes,-0.058999793187134816,0.003970599581528282,3.6915026676836594e-45,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,linux,-0.06530967754103664,0.004113469319893446,1.20130347386835e-50,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,memory-management,-0.06282184658244128,0.0040086224639438554,1.6001782322227857e-49,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,multithreading,-0.06345849847463933,0.004016336854235855,3.176619883281255e-50,1073,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,numpy,-0.0631635857403855,0.003939081655487803,1.5345608772959436e-51,1077,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
T3_low_tenure_share,residual,low_tenure_existing_share,high_post,pandas,-0.0627328414474366,0.003878989511428922,2.6901550705289456e-52,1076,n_new_answerers_profiles,low_tenure_existing_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id)
