test_block,subtype,role,family,term,coef,se,pval,nobs,mean_share
stage_role_decomposition,brand_new_platform_share,first_answer,binary,high_post,0.010655830837482772,0.013634343073748431,0.43448296159432676,1161,0.13457023530005324
stage_role_decomposition,brand_new_platform_share,first_answer,continuous,exposure_post,-0.013408313879472158,0.0054839513389652065,0.014484827096302026,1161,0.13457023530005324
stage_role_decomposition,brand_new_platform_share,first_positive,binary,high_post,0.014792395048047208,0.015520445990604457,0.34054404218901224,1159,0.11359066343997949
stage_role_decomposition,brand_new_platform_share,first_positive,continuous,exposure_post,-0.015148438064043144,0.00616735545112136,0.014040360731114516,1159,0.11359066343997949
stage_role_decomposition,brand_new_platform_share,top_score,binary,high_post,0.009835580307504935,0.013601661899303818,0.46960857669582545,1161,0.13055684936587023
stage_role_decomposition,brand_new_platform_share,top_score,continuous,exposure_post,-0.013738560643432264,0.00552243593285063,0.012854616883354514,1161,0.13055684936587023
stage_role_decomposition,brand_new_platform_share,accepted_current,binary,high_post,0.019021847418088492,0.016811434583152304,0.25785198023724465,1155,0.10296887539899768
stage_role_decomposition,brand_new_platform_share,accepted_current,continuous,exposure_post,-0.015074530161159045,0.006666917015487901,0.023753398786781985,1155,0.10296887539899768
stage_role_decomposition,brand_new_platform_share,later_answer,binary,high_post,0.006820309878382957,0.008325337548422846,0.41265906623105497,1150,0.15979299635099514
stage_role_decomposition,brand_new_platform_share,later_answer,continuous,exposure_post,-0.00019191324484826153,0.0057604993039200155,0.9734230861186219,1150,0.15979299635099514
stage_role_decomposition,brand_new_platform_share,accepted_30d,binary,high_post,0.010285160026420794,0.01498037182340866,0.4923501140045179,1145,0.10337080085847054
stage_role_decomposition,brand_new_platform_share,accepted_30d,continuous,exposure_post,-0.014312391641958149,0.005408381195057342,0.008136904832534418,1145,0.10337080085847054
stage_role_decomposition,established_cross_tag_share,first_answer,binary,high_post,-0.009846268901861842,0.018460908488681305,0.5937859475786443,1161,0.7569773371330366
stage_role_decomposition,established_cross_tag_share,first_answer,continuous,exposure_post,0.009901300742331018,0.011668135948213264,0.3961172370707321,1161,0.7569773371330366
stage_role_decomposition,established_cross_tag_share,first_positive,binary,high_post,-0.02109042407654245,0.019987262338863433,0.29133695589810327,1159,0.7823433069934252
stage_role_decomposition,established_cross_tag_share,first_positive,continuous,exposure_post,0.0034587567788403936,0.013359325648616195,0.7957108174837444,1159,0.7823433069934252
stage_role_decomposition,established_cross_tag_share,top_score,binary,high_post,-0.009652069602323067,0.017938774246167317,0.5905382152435181,1161,0.7620770276029786
stage_role_decomposition,established_cross_tag_share,top_score,continuous,exposure_post,0.009024286416019114,0.011009509261065704,0.41239793984771456,1161,0.7620770276029786
stage_role_decomposition,established_cross_tag_share,accepted_current,binary,high_post,-0.029318004301521785,0.021764135563100275,0.17795487462350268,1155,0.7901757187028814
stage_role_decomposition,established_cross_tag_share,accepted_current,continuous,exposure_post,-0.0010770845556818504,0.014583368326743546,0.9411241320350485,1155,0.7901757187028814
stage_role_decomposition,established_cross_tag_share,later_answer,binary,high_post,-0.0064485831087276934,0.013595221214265549,0.6352666034204029,1150,0.7410592541361205
stage_role_decomposition,established_cross_tag_share,later_answer,continuous,exposure_post,0.004409909164642458,0.011858960738719813,0.7099948263800391,1150,0.7410592541361205
stage_role_decomposition,established_cross_tag_share,accepted_30d,binary,high_post,-0.02475380863067269,0.020801748301106975,0.23405152854237832,1145,0.7897355695417089
stage_role_decomposition,established_cross_tag_share,accepted_30d,continuous,exposure_post,0.0007840553425254272,0.010412947815258653,0.939979049352132,1145,0.7897355695417089
