specification,break_month,variant,term,coef,se,pval
expert_answer_share,2020-07,level_only,exposure_break_post,0.026945705830650254,0.00840130424275882,0.0013397595009768037
expert_answer_share,2020-07,slope_only,exposure_break_slope,-0.007789618703414486,0.0016830611076099511,3.687780633900313e-06
expert_answer_share,2020-07,level_and_slope,exposure_break_post,0.003299280374901288,0.011000874201993487,0.76424523825757
expert_answer_share,2020-07,level_and_slope,exposure_break_slope,-0.0070993929265903595,0.0015572422326647285,5.14094658429698e-06
expert_answer_share,2020-08,level_only,exposure_break_post,0.02999380058847025,0.00850641370222915,0.0004218521612611903
expert_answer_share,2020-08,slope_only,exposure_break_slope,-0.006803653361335449,0.0015505047980844872,1.143847844652441e-05
expert_answer_share,2020-08,level_and_slope,exposure_break_post,0.012608482878295725,0.00940084038883259,0.17985291098569978
expert_answer_share,2020-08,level_and_slope,exposure_break_slope,-0.004587444976909198,0.0011520634328506508,6.835565912558355e-05
expert_answer_share,2020-09,level_only,exposure_break_post,0.032556487124398625,0.009172671176922546,0.00038626869945280177
expert_answer_share,2020-09,slope_only,exposure_break_slope,-0.006144666104493129,0.0014475382338216046,2.186834789091926e-05
expert_answer_share,2020-09,level_and_slope,exposure_break_post,0.01768717095260602,0.010523426562231994,0.09281292900815762
expert_answer_share,2020-09,level_and_slope,exposure_break_slope,-0.003484976931052499,0.0012319846360190514,0.004673014067110573
expert_answer_share,2020-10,level_only,exposure_break_post,0.02813939395786816,0.009455019766930419,0.0029190847569564907
expert_answer_share,2020-10,slope_only,exposure_break_slope,-0.005482033134709989,0.0013560289980404608,5.2836764082668976e-05
expert_answer_share,2020-10,level_and_slope,exposure_break_post,0.0054894298969753235,0.010590542283154808,0.6042257979394324
expert_answer_share,2020-10,level_and_slope,exposure_break_slope,-0.004765447643644721,0.001182863687761533,5.6077120640715176e-05
expert_answer_share,2020-11,level_only,exposure_break_post,0.024886639459084533,0.00952505690377664,0.008981567824409495
expert_answer_share,2020-11,slope_only,exposure_break_slope,-0.004895883925494161,0.0012765057810299326,0.00012537063335322894
expert_answer_share,2020-11,level_and_slope,exposure_break_post,-0.0015220486968728175,0.009402643710918134,0.8714046465262438
expert_answer_share,2020-11,level_and_slope,exposure_break_slope,-0.005069648793917631,0.0009991898689652434,3.900325644204537e-07
expert_answer_share,2020-12,level_only,exposure_break_post,0.018955384035113713,0.009196077876722565,0.039279522135543504
expert_answer_share,2020-12,slope_only,exposure_break_slope,-0.004332866584417872,0.0011929602993825585,0.00028120134558131483
expert_answer_share,2020-12,level_and_slope,exposure_break_post,-0.012993592085075103,0.009022512550928823,0.14983058890073747
expert_answer_share,2020-12,level_and_slope,exposure_break_slope,-0.005644379553114849,0.0011084744507880758,3.5425948280761317e-07
expert_answer_share,2021-01,level_only,exposure_break_post,0.014475836819180184,0.009941108052078892,0.14534859115512633
expert_answer_share,2021-01,slope_only,exposure_break_slope,-0.003835781670336094,0.0011279593445490874,0.000672287355304406
expert_answer_share,2021-01,level_and_slope,exposure_break_post,-0.01906381340393749,0.010335689307716021,0.06511545522745113
expert_answer_share,2021-01,level_and_slope,exposure_break_slope,-0.005540577720104509,0.0010821634570743195,3.0568417800300727e-07
expert_answer_share,2021-02,level_only,exposure_break_post,0.01351375999631688,0.009409675255442543,0.1509580038918586
expert_answer_share,2021-02,slope_only,exposure_break_slope,-0.003445124424311936,0.0010695133698353583,0.0012765171662726213
expert_answer_share,2021-02,level_and_slope,exposure_break_post,-0.016868880417188408,0.00838644486041305,0.0442783756359668
expert_answer_share,2021-02,level_and_slope,exposure_break_slope,-0.004778318921321829,0.0009855856083496068,1.2458499391612662e-06
expert_answer_share,2021-03,level_only,exposure_break_post,0.009566530877421745,0.00904074545791286,0.2899837309800768
expert_answer_share,2021-03,slope_only,exposure_break_slope,-0.003098635391990302,0.0010158428933261321,0.0022860553033267113
expert_answer_share,2021-03,level_and_slope,exposure_break_post,-0.02056126442174304,0.007890526493224298,0.009165554046676079
expert_answer_share,2021-03,level_and_slope,exposure_break_slope,-0.004544422621447664,0.0009792291589133014,3.4703556901022177e-06
expert_answer_share,2021-04,level_only,exposure_break_post,0.011654456630745514,0.009548815698884432,0.22227034799524137
expert_answer_share,2021-04,slope_only,exposure_break_slope,-0.002853004428503977,0.000969763225498742,0.0032614225849897753
expert_answer_share,2021-04,level_and_slope,exposure_break_post,-0.012765300121504203,0.009812299453790412,0.19327594848777163
expert_answer_share,2021-04,level_and_slope,exposure_break_slope,-0.0036368798737364282,0.001025287951370116,0.00038937995963649324
expert_answer_share,2021-05,level_only,exposure_break_post,0.009739571286265744,0.009399206487102595,0.30010321323420475
expert_answer_share,2021-05,slope_only,exposure_break_slope,-0.002642948891096367,0.0009267939466901683,0.004348455680254231
expert_answer_share,2021-05,level_and_slope,exposure_break_post,-0.013148975328326701,0.010002047526349644,0.1886348343091011
expert_answer_share,2021-05,level_and_slope,exposure_break_slope,-0.003358854779445874,0.0010181168159618665,0.0009700024181571207
expert_answer_share,2021-06,level_only,exposure_break_post,0.0035081306997457634,0.009911278584193542,0.7233738107612966
expert_answer_share,2021-06,slope_only,exposure_break_slope,-0.0024328082634281012,0.0008963168134180696,0.006643041207942315
expert_answer_share,2021-06,level_and_slope,exposure_break_post,-0.019353562669746447,0.009742396817410338,0.04697451514041995
expert_answer_share,2021-06,level_and_slope,exposure_break_slope,-0.003361001183413998,0.0009090150903290561,0.0002178106877707428
expert_answer_share,2021-07,level_only,exposure_break_post,0.0028910612283396687,0.010607817508966269,0.7852063577353268
expert_answer_share,2021-07,slope_only,exposure_break_slope,-0.002260216546555278,0.0008715362466115111,0.009504027479540792
expert_answer_share,2021-07,level_and_slope,exposure_break_post,-0.017242707362594787,0.010598818293180897,0.10376856208186933
expert_answer_share,2021-07,level_and_slope,exposure_break_slope,-0.002990538665152171,0.000887111302446648,0.000748693639184485
expert_answer_share,2021-08,level_only,exposure_break_post,0.0025066404381713088,0.010903927049652514,0.8181817618665554
expert_answer_share,2021-08,slope_only,exposure_break_slope,-0.0021191255095522337,0.0008578268676381018,0.013498403476143067
expert_answer_share,2021-08,level_and_slope,exposure_break_post,-0.015070641596657134,0.009955464282621498,0.1300750495788932
expert_answer_share,2021-08,level_and_slope,exposure_break_slope,-0.0026796102524680237,0.0008002941042796338,0.0008131425872060287
expert_answer_share,2021-09,level_only,exposure_break_post,0.003373657581028431,0.011013503857682972,0.7593609382470945
expert_answer_share,2021-09,slope_only,exposure_break_slope,-0.002010926318973454,0.0008507318619951614,0.018090506339699608
expert_answer_share,2021-09,level_and_slope,exposure_break_post,-0.011502742090722681,0.009590023580891656,0.23035348946382095
expert_answer_share,2021-09,level_and_slope,exposure_break_slope,-0.002381454885551624,0.0007682955305631231,0.001937429364031657
expert_answer_share,2021-10,level_only,exposure_break_post,0.001020416237455037,0.010829309457619243,0.9249286249219186
expert_answer_share,2021-10,slope_only,exposure_break_slope,-0.0019136334339185162,0.000845701891563659,0.023649538246512024
