test_block,family,outcome,term,coef,se,pval,nobs,mean_outcome
repeat_split_consequence,binary,any_answer_7d_rate,high_post,-0.02442622220319853,0.00902020397358189,0.006770110632071665,975,0.7222216856076961
repeat_split_consequence,binary,any_answer_7d_rate,established_one_shot_share_365d,-0.08727323489420775,0.03538532788594971,0.013649108449188188,975,0.7222216856076961
repeat_split_consequence,binary,any_answer_7d_rate,established_repeat_share_365d,-0.09248806280049457,0.059210663873045424,0.11828398707260879,975,0.7222216856076961
repeat_split_consequence,binary,first_positive_answer_latency_mean,high_post,83.40527956687598,27.426221727831503,0.0023573275285969065,975,256.6905417130193
repeat_split_consequence,binary,first_positive_answer_latency_mean,established_one_shot_share_365d,173.48024771910033,91.68517211705223,0.058473686779633494,975,256.6905417130193
repeat_split_consequence,binary,first_positive_answer_latency_mean,established_repeat_share_365d,367.9514311452864,151.32925265039103,0.01503799718596907,975,256.6905417130193
repeat_split_consequence,binary,accepted_cond_any_answer_30d_rate,high_post,0.0004306787799025399,0.006242237188555877,0.9449941573132422,975,0.5037732341339203
repeat_split_consequence,binary,accepted_cond_any_answer_30d_rate,established_one_shot_share_365d,0.009906356650254786,0.02906872824641599,0.7332610381179743,975,0.5037732341339203
repeat_split_consequence,binary,accepted_cond_any_answer_30d_rate,established_repeat_share_365d,0.0008529892773434904,0.045269650166665704,0.9849668220900398,975,0.5037732341339203
repeat_split_consequence,binary,accepted_vote_30d_rate,high_post,0.008890926462564222,0.003068907449762057,0.0037663175975642285,975,0.20798575071925243
repeat_split_consequence,binary,accepted_vote_30d_rate,established_one_shot_share_365d,0.019738511622614297,0.01426463351072908,0.1664387755564164,975,0.20798575071925243
repeat_split_consequence,binary,accepted_vote_30d_rate,established_repeat_share_365d,0.02633990557242303,0.02721756432950972,0.3331672638166149,975,0.20798575071925243
repeat_split_consequence,binary,first_answer_1d_rate_closure,high_post,-0.030047422159866798,0.010312977686762306,0.0035733949922467836,975,0.6464967664528659
repeat_split_consequence,binary,first_answer_1d_rate_closure,established_one_shot_share_365d,-0.12285262898365318,0.04775555078068947,0.010095794965075988,975,0.6464967664528659
repeat_split_consequence,binary,first_answer_1d_rate_closure,established_repeat_share_365d,-0.1399960724992455,0.07343801623135257,0.05660920698367227,975,0.6464967664528659
repeat_split_consequence,continuous,any_answer_7d_rate,exposure_post,-0.010007591155427929,0.007430284574896982,0.17802367572457434,975,0.7222216856076961
repeat_split_consequence,continuous,any_answer_7d_rate,established_one_shot_share_365d,-0.09522227537751646,0.0367000484086761,0.009469858487085304,975,0.7222216856076961
repeat_split_consequence,continuous,any_answer_7d_rate,established_repeat_share_365d,-0.09682383522798366,0.06140243121079917,0.11482475283620638,975,0.7222216856076961
repeat_split_consequence,continuous,first_positive_answer_latency_mean,exposure_post,51.166302060688835,13.925304160381863,0.00023846502070410563,975,256.6905417130193
repeat_split_consequence,continuous,first_positive_answer_latency_mean,established_one_shot_share_365d,190.60217525005837,93.18084739787328,0.0408047944965977,975,256.6905417130193
repeat_split_consequence,continuous,first_positive_answer_latency_mean,established_repeat_share_365d,386.806850328221,156.61376468138715,0.013518336448982421,975,256.6905417130193
repeat_split_consequence,continuous,accepted_cond_any_answer_30d_rate,exposure_post,-0.0036449128310581283,0.004343271236244239,0.40135197056294836,975,0.5037732341339203
repeat_split_consequence,continuous,accepted_cond_any_answer_30d_rate,established_one_shot_share_365d,0.011824207370455142,0.029928997489727074,0.6927873241643414,975,0.5037732341339203
repeat_split_consequence,continuous,accepted_cond_any_answer_30d_rate,established_repeat_share_365d,0.0006530464628356249,0.04482170350774621,0.9883753357203476,975,0.5037732341339203
repeat_split_consequence,continuous,accepted_vote_30d_rate,exposure_post,0.0012776102613686695,0.0026537858085646246,0.6302114120388442,975,0.20798575071925243
repeat_split_consequence,continuous,accepted_vote_30d_rate,established_one_shot_share_365d,0.023918555923189908,0.0141289989314417,0.09048024846978385,975,0.20798575071925243
repeat_split_consequence,continuous,accepted_vote_30d_rate,established_repeat_share_365d,0.02776844443044021,0.02810418401758242,0.3231263245473043,975,0.20798575071925243
repeat_split_consequence,continuous,first_answer_1d_rate_closure,exposure_post,-0.012413341588237155,0.008456577185061943,0.14213357474021365,975,0.6464967664528659
repeat_split_consequence,continuous,first_answer_1d_rate_closure,established_one_shot_share_365d,-0.13257510481794468,0.048986427594311016,0.0068024435881205575,975,0.6464967664528659
repeat_split_consequence,continuous,first_answer_1d_rate_closure,established_repeat_share_365d,-0.1453361335497767,0.07687795664116623,0.058693977047840684,975,0.6464967664528659
