outcome,role,model,coef,se,pval,complexity_coef,complexity_pval,n_cells,mean_outcome,mean_weight
recent_entrant_90d_share,first_answer,base,0.017946326747164898,0.008604320008547767,0.03700268311436767,,,1161,0.4595268381983999,1395.5805340223944
recent_entrant_90d_share,first_answer,with_complexity,0.024480674385749093,0.007807542121221335,0.0017155198438321838,-0.311598759781226,0.0912727658179696,1161,0.4595268381983999,1395.5805340223944
recent_entrant_90d_share,first_positive,base,0.021549400583521134,0.009234586635845516,0.01961912169307415,,,1159,0.38993934064061275,823.0146678170837
recent_entrant_90d_share,first_positive,with_complexity,0.028083389825450594,0.009179316664086794,0.0022176561744763684,-0.32648670135211066,0.030078601448997246,1159,0.38993934064061275,823.0146678170837
recent_entrant_90d_share,top_score,base,0.020575542464019596,0.008206441913852232,0.012167709575922506,,,1161,0.44751506511185773,1395.5805340223944
recent_entrant_90d_share,top_score,with_complexity,0.02721839621080982,0.007585159732477394,0.0003327456864283597,-0.31677301291493365,0.07795133358156398,1161,0.44751506511185773,1395.5805340223944
recent_entrant_90d_share,accepted_current,base,0.010990198090944703,0.009598960635127572,0.25223556208929776,,,1155,0.3906515876902335,741.5982683982684
recent_entrant_90d_share,accepted_current,with_complexity,0.016868604388188345,0.009027378637517527,0.061677796888180654,-0.30747490211348955,0.08475844870145409,1155,0.3906515876902335,741.5982683982684
recent_entrant_365d_share,first_answer,base,0.046426852020430676,0.020689428641964016,0.024833103717520347,,,1161,0.5916835536403636,1395.5805340223944
recent_entrant_365d_share,first_answer,with_complexity,0.039427141263981336,0.017858766911825075,0.02726385878613135,0.33379019776315344,0.26930230904652264,1161,0.5916835536403636,1395.5805340223944
recent_entrant_365d_share,first_positive,base,0.06003092664283103,0.024441724017338247,0.014046033134732573,,,1159,0.529689594331206,823.0146678170837
recent_entrant_365d_share,first_positive,with_complexity,0.0534387414443905,0.021747568749298618,0.01400136755828115,0.32939460419211386,0.3270879989305453,1159,0.529689594331206,823.0146678170837
recent_entrant_365d_share,top_score,base,0.050135778715708235,0.020987647676975217,0.01690243625416178,,,1161,0.5796002056829356,1395.5805340223944
recent_entrant_365d_share,top_score,with_complexity,0.04313016653581948,0.01836293711207705,0.01883594878801301,0.3340716147195745,0.27810078967787877,1161,0.5796002056829356,1395.5805340223944
recent_entrant_365d_share,accepted_current,base,0.05571596837313727,0.02597943937331107,0.031983417137826986,,,1155,0.5329160688151247,741.5982683982684
recent_entrant_365d_share,accepted_current,with_complexity,0.04843089807460758,0.02419946698912135,0.045357823200505416,0.3810516258429742,0.23309904811530235,1155,0.5329160688151247,741.5982683982684
brand_new_platform_share,first_answer,base,-0.01388849921053005,0.006110271723629567,0.02302764372861707,,,1161,0.13457023530005324,1395.5805340223944
brand_new_platform_share,first_answer,with_complexity,-0.013360900535846586,0.005546785084036596,0.01600661077592482,-0.025159220443493845,0.7665185327314131,1161,0.13457023530005324,1395.5805340223944
brand_new_platform_share,first_positive,base,-0.016009820024127517,0.006889570020301381,0.020137482757844948,,,1159,0.11359066343997949,823.0146678170837
brand_new_platform_share,first_positive,with_complexity,-0.015130763277080557,0.006229098066666967,0.015138628000957622,-0.043924213373809376,0.6485470200831893,1159,0.11359066343997949,823.0146678170837
brand_new_platform_share,top_score,base,-0.014406871795989411,0.006265763048906724,0.021487884316972062,,,1161,0.13055684936587023,1395.5805340223944
brand_new_platform_share,top_score,with_complexity,-0.013739991628573346,0.005587922980502623,0.013937400281059966,-0.03180103731587248,0.7039753321350879,1161,0.13055684936587023,1395.5805340223944
brand_new_platform_share,accepted_current,base,-0.0152888736677354,0.007126591797450366,0.031926667849924956,,,1155,0.10296887539899768,741.5982683982684
brand_new_platform_share,accepted_current,with_complexity,-0.015048934458267367,0.0067713388879414235,0.026253185216842195,-0.012550218752141549,0.914003607287146,1155,0.10296887539899768,741.5982683982684
mean_log_tenure_days,first_answer,base,-0.05532003938935298,0.056411379421479085,0.32676344326791495,,,1161,3.8630742647035325,1395.5805340223944
mean_log_tenure_days,first_answer,with_complexity,-0.074409974200951,0.049752482659183604,0.13475707866748562,0.9103280603675975,0.047574931511183166,1161,3.8630742647035325,1395.5805340223944
mean_log_tenure_days,first_positive,base,-0.07639889807159976,0.0605997607630063,0.20741231677604455,,,1159,4.332932876919184,823.0146678170837
mean_log_tenure_days,first_positive,with_complexity,-0.09590158117711503,0.05756738480416503,0.09573307468473598,0.9744991059635226,0.0019252841569472685,1159,4.332932876919184,823.0146678170837
mean_log_tenure_days,top_score,base,-0.0631396517521592,0.05388728114801659,0.24131808626123663,,,1161,3.940050119743129,1395.5805340223944
mean_log_tenure_days,top_score,with_complexity,-0.08290851567074209,0.047062903228045384,0.07812790379816931,0.9427036668423177,0.031209568026996835,1161,3.940050119743129,1395.5805340223944
mean_log_tenure_days,accepted_current,base,-0.006040141688123021,0.06187190326680787,0.9222313924547797,,,1155,4.32260441922471,741.5982683982684
mean_log_tenure_days,accepted_current,with_complexity,-0.021653248385127364,0.057345987165608264,0.7057354913429631,0.8166564559514711,0.04572985426171926,1155,4.32260441922471,741.5982683982684
