primary_tag,month_id,time_index,role,post_chatgpt,exposure_index,high_tag,high_post,residual_queue_complexity_index_mean,n_role_questions,profile_coverage,recent_entrant_30d_share,recent_entrant_90d_share,recent_entrant_365d_share,incumbent_365d_share,brand_new_platform_share,low_tenure_existing_share,established_cross_tag_share,mean_log_tenure_days
android,2020-01,1,accepted_current,0,-0.5824723369899437,0,0,0.0603749011841349,2283,1.0,0.9837932544897066,0.9908015768725361,0.9964958388085852,0.003504161191414805,0.045116075339465614,0.11344721857205431,0.8414367060884801,1.0947688713544659
android,2020-01,1,first_answer,0,-0.5824723369899437,0,0,0.0603749011841349,4722,1.0,0.9792460821685727,0.9864464210080475,0.9949174078780177,0.005082592121982211,0.07539178314273613,0.12452350698856417,0.8000847098686997,1.0579452077567963
android,2020-01,1,first_positive,0,-0.5824723369899437,0,0,0.0603749011841349,2676,1.0,0.9738415545590433,0.9816890881913304,0.9932735426008968,0.006726457399103139,0.07212257100149477,0.09566517189835576,0.8322122571001495,1.1602672083967185
android,2020-01,1,top_score,0,-0.5824723369899437,0,0,0.0603749011841349,4722,1.0,0.9724692926725964,0.9807285048708174,0.9919525624735281,0.008047437526471834,0.07285048708174502,0.11605252011859382,0.8110969927996612,1.0690654012983571
android,2020-02,2,accepted_current,0,-0.5824723369899437,0,0,0.0510794675753599,2188,1.0,0.7175502742230347,0.9894881170018281,0.996800731261426,0.0031992687385740404,0.0603290676416819,0.11745886654478976,0.8222120658135283,1.8202662532812417
android,2020-02,2,first_answer,0,-0.5824723369899437,0,0,0.0510794675753599,4503,1.0,0.7606040417499444,0.9877859204974462,0.9957805907172996,0.004219409282700422,0.09815678436597823,0.12369531423495447,0.7781479013990673,1.6940996355087117
android,2020-02,2,first_positive,0,-0.5824723369899437,0,0,0.0510794675753599,2463,1.0,0.7170117742590337,0.9837596427121397,0.9963459196102314,0.0036540803897685747,0.08647990255785627,0.09297604547300041,0.8205440519691434,1.8396934383186545
android,2020-02,2,top_score,0,-0.5824723369899437,0,0,0.0510794675753599,4503,1.0,0.7537197423939596,0.9817899178325561,0.9931157006440151,0.006884299355984899,0.09793471019320453,0.12236286919831224,0.7797024206084833,1.696849338543345
android,2020-03,3,accepted_current,0,-0.5824723369899437,0,0,0.0377806813878112,2232,1.0,0.6129032258064516,0.9807347670250897,0.9946236559139785,0.005376344086021506,0.07706093189964158,0.10125448028673835,0.8216845878136201,2.0941635055892913
android,2020-03,3,first_answer,0,-0.5824723369899437,0,0,0.0377806813878112,4647,1.0,0.6429954809554551,0.9808478588336561,0.9933290294813858,0.0066709705186141595,0.11103938024531956,0.11577361738756187,0.7731870023671186,1.9775530130518573
